task,cell,seed,coord,mean_FH,median_FH,frac_pos,median_sigma,E_sech2,two_s2_E_sech2
g1,PW_ent,303,8,0.00020376923203002661,0.00020363141084089875,1.0,0.10022059828042984,0.826947033405304,0.0180855393409729
g1,PW_ent,303,9,0.00020183424931019545,0.00020370964193716645,1.0,0.4326077103614807,0.21053063869476318,0.02740977704524994
g1,PW_ent,303,10,0.0001844532525865361,0.00018741731764748693,1.0,0.3332337439060211,0.5483757853507996,0.11116456985473633
g1,PW_ent,303,11,0.00012055425759172067,0.00012071879609720781,1.0,0.5718306303024292,0.6329323649406433,0.4190783202648163
g1,PW_ent,303,12,0.0002043664426309988,0.00020419912470970303,1.0,0.10082294046878815,0.6530056595802307,0.015207815915346146
g1,PW_ent,303,13,0.00020237320859450847,0.0002025900175794959,1.0,0.11617813259363174,0.8496542572975159,0.024812661111354828
g1,PW_ent,303,14,0.00020352161664050072,0.00020355201559141278,1.0,0.10046073794364929,0.8562783598899841,0.01927877776324749
g1,PW_ent,303,15,0.000195392916793935,0.00019758011330850422,1.0,0.17357081174850464,0.7519276142120361,0.05844904109835625
g1,PW_ent,303,16,0.00019001461623702198,0.0001926341064972803,1.0,0.21921421587467194,0.8076892495155334,0.08436564356088638
g1,PW_ent,303,17,0.00017960376862902194,0.00018282441305927932,1.0,0.2925031781196594,0.7574582099914551,0.1345331221818924
g1,PW_ent,303,18,0.00018316744535695761,0.000184418517164886,1.0,0.27508270740509033,0.7955958247184753,0.1173606738448143
g1,PW_ent,303,19,0.00014703457418363541,0.00015185234951786697,1.0,0.4610902667045593,0.6676295399665833,0.29147613048553467
g1,PW_ent,303,20,0.0001364941126666963,0.00013706210302188993,1.0,0.511377215385437,0.6448684334754944,0.3422679901123047
g1,PW_ent,303,21,0.00013563073298428208,0.00013416237197816372,1.0,0.513836145401001,0.6695041060447693,0.34642839431762695
g1,PW_ent,303,22,0.00019515084568411112,0.00019669132598210126,1.0,0.18487678468227386,0.7673492431640625,0.059615422040224075
g1,PW_ent,303,23,0.0001896009052870795,0.00019099560449831188,1.0,0.23017515242099762,0.7784321308135986,0.08635935187339783
g1,PW_ent,303,24,0.00016993338067550212,0.00017508586461190134,1.0,0.35388287901878357,0.7201700210571289,0.18113230168819427
g1,PW_ent,303,25,0.00018693423771765083,0.00018787907902151346,1.0,0.2498455047607422,0.7906734347343445,0.09920928627252579
g1,PW_ent,303,26,0.00013937581388745457,0.00014153480879031122,1.0,0.4842737019062042,0.6964824795722961,0.32838180661201477
g1,PW_ent,303,27,0.00013292494986671954,0.00013172734179534018,1.0,0.5163496136665344,0.6548427939414978,0.35946691036224365
g1,PW_ent,303,28,0.00013713353837374598,0.00013872075942344964,1.0,0.5127757787704468,0.6554734706878662,0.33918678760528564
g1,PW_ent,304,0,0.00020132404461037368,0.00020314079301897436,1.0,0.1610613763332367,0.5207729935646057,0.02986835688352585
g1,PW_ent,304,1,0.00019369437359273434,0.00019502302166074514,1.0,0.21895679831504822,0.6703268885612488,0.06663387268781662
g1,PW_ent,304,2,0.00020329766266513616,0.00020354354637674987,1.0,0.10241095721721649,0.798272430896759,0.020357878878712654
g1,PW_ent,304,3,0.00019945786334574223,0.00020101183326914907,1.0,0.3518458604812622,0.3005428910255432,0.0388609915971756
g1,PW_ent,304,4,0.00018215762975160033,0.00018478039419278502,1.0,0.3696165680885315,0.5054817795753479,0.12222660332918167
g1,PW_ent,304,5,0.0001025369274429977,9.962693729903549e-05,0.9947916666666666,0.6745986938476562,0.5768916010856628,0.5058994293212891
g1,PW_ent,304,6,0.00020207012130413204,0.00020295886497478932,1.0,0.17109669744968414,0.47721871733665466,0.026273099705576897
g1,PW_ent,304,7,0.0001934596075443551,0.00019515857275109738,1.0,0.21413257718086243,0.6966958045959473,0.06776515394449234
g1,PW_ent,304,8,0.0002015907084569335,0.00020351844432298094,0.9947916666666666,0.10183319449424744,0.8088198304176331,0.028583260253071785
g1,PW_ent,304,9,0.0002009883610298857,0.00020346880774013698,1.0,0.4287775754928589,0.24043893814086914,0.03148593008518219
g1,PW_ent,304,10,0.00018066877964884043,0.000191427709069103,0.984375,0.3997151255607605,0.461194783449173,0.1294010728597641
g1,PW_ent,304,11,0.00010192639456363395,0.00010097982885781676,0.9947916666666666,0.6540780067443848,0.6063414216041565,0.5088414549827576
g1,PW_ent,304,12,0.00020340853370726109,0.0002036342630162835,1.0,0.1009795218706131,0.8082168698310852,0.019823631271719933
g1,PW_ent,304,13,0.00020061504619661719,0.00020118406973779202,1.0,0.13310781121253967,0.7960163950920105,0.03328483924269676
g1,PW_ent,304,14,0.00020634727843571454,0.00020704406779259443,1.0,0.43842196464538574,0.14435075223445892,0.005662604700773954
g1,PW_ent,304,15,0.00019059264741372317,0.0001928307901835069,1.0,0.229355588555336,0.7319846153259277,0.0815802738070488
g1,PW_ent,304,16,0.00018766551511362195,0.00018867032486014068,1.0,0.2551618218421936,0.707320511341095,0.0956854447722435
g1,PW_ent,304,17,0.00017030535673256963,0.00017365143867209554,0.9947916666666666,0.34810346364974976,0.7662496566772461,0.17933987081050873
g1,PW_ent,304,18,0.0001752965763444081,0.0001787480723578483,0.9947916666666666,0.3007059693336487,0.7520826458930969,0.15528835356235504
g1,PW_ent,304,19,0.00013461321941576898,0.00013820247841067612,0.9947916666666666,0.5221757292747498,0.6593469381332397,0.35133156180381775
g1,PW_ent,304,20,0.0001276215334655717,0.0001307655475102365,0.9895833333333334,0.5698204040527344,0.605658769607544,0.3850228786468506
g1,PW_ent,304,21,0.0001271631190320477,0.00012869913189206272,0.9895833333333334,0.5618233680725098,0.6103208661079407,0.3872317373752594
g1,PW_ent,304,22,0.00018585163343232125,0.00018813932547345757,1.0,0.28059130907058716,0.637638509273529,0.10442613810300827
g1,PW_ent,304,23,0.00018565019126981497,0.00019006122602149844,1.0,0.29291635751724243,0.6339800357818604,0.1053968295454979
g1,PW_ent,304,24,0.0001688593765720725,0.00017284182831645012,1.0,0.3641326427459717,0.7555601000785828,0.1863076239824295
g1,PW_ent,304,25,0.00017887447029352188,0.00018320989329367876,1.0,0.3255343437194824,0.6867806911468506,0.13804735243320465
g1,PW_ent,304,26,0.00013507592666428536,0.0001386343501508236,0.9895833333333334,0.5230961441993713,0.6351258754730225,0.3491019010543823
g1,PW_ent,304,27,0.00011855179764097556,0.00011893456394318491,0.9947916666666666,0.61742103099823,0.5877214074134827,0.4287276268005371
